Rk	Gcar	Gtm	Date	Tm	Unnamed: 5	Opp	Rslt	Inngs	PA	AB	R	H	2B	3B	HR	RBI	BB	IBB	SO	HBP	SH	SF	ROE	GDP	SB	CS	BA	OBP	SLG	OPS	BOP	aLI	WPA	RE24	DFS(DK)	DFS(FD)	Pos	group
1	407	6 (5)	Apr 3	ARI		SFG	L5-8	GS-5	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	.000	.000	.000	.000	9	.36	-0.009	-0.09			P	arroybr01_gamelog_batting_2014.csv
2	408	11 (4)	Apr 9	ARI	@	SFG	W7-3	GS-6	2	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	.333	.333	.333	.667	9	.18	0.000	0.03			P	arroybr01_gamelog_batting_2014.csv
3	409	17 (5)	Apr 15	ARI		NYM	L0-9	GS-4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.250	.250	.250	.500	9	.35	-0.009	-0.09			P	arroybr01_gamelog_batting_2014.csv
4	410	22 (4)	Apr 21	ARI	@	CHC	L1-5	GS-6	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.333	.333	.333	.667	9	.38	0.007	0.23			P	arroybr01_gamelog_batting_2014.csv
5	411	27 (4)	Apr 26	ARI		PHI	L5-6	GS-7	3	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	.250	.250	.250	.500	9	.45	-0.019	-0.68			P	arroybr01_gamelog_batting_2014.csv
Rk	Gcar	Gtm	Date	Tm		Opp	Rslt	Inngs	PA	AB	R	H	2B	3B	HR	RBI	BB	IBB	SO	HBP	SH	SF	ROE	GDP	SB	CS	BA	OBP	SLG	OPS	BOP	aLI	WPA	RE24	DFS(DK)	DFS(FD)	Pos	arroybr01_gamelog_batting_2014.csv
6	412	32 (4)	May 2	ARI	@	SDP	W2-0	GS-8	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	.182	.182	.182	.364	9	.54	-0.039	-0.41			P	arroybr01_gamelog_batting_2014.csv
7	413	37 (4)	May 7	ARI	@	MIL	W3-2	GS-8	4	3	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	.214	.214	.214	.429	9	1.03	-0.015	-0.19			P	arroybr01_gamelog_batting_2014.csv
8	414	42 (4)	May 13	ARI		WSN	W3-1	CG	3	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.294	.294	.294	.588	9	.76	0.069	0.40			P	arroybr01_gamelog_batting_2014.csv
9	415	47 (4)	May 20	ARI	@	STL	L0-5	GS-8	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	.263	.263	.263	.526	9	.38	-0.018	-0.23			P	arroybr01_gamelog_batting_2014.csv
